NAME,TITLE,STUDYTYPE,STUDYSOP,STUDYSUBTYPE,PASS,PMS,HARMONIZEDCATEGORY,INDICATION,HARMONIZEDPRIMARYDRUG,DRUGPRIORITY,STATUS,STATUSDETAIL,COUNTRIESOFSTUDY,UNITEDSTATES,INTERNATIONALPRIORITY,ANCHORMARKET,EXECUTIONGROUP,SPONSORINGDIVISION
X9001205,A retrospective cohort study to investigate 1st line topical glaucoma medication adherence and compliance with local guideline for glaucoma using an administrative healthcare claims database in Japan.,NON INTERVENTIONAL,CT24,,No,No,,Ill-defined disorder,,No Drug,Completed,No additional details,"Japan,",No,Yes,No,,BIOSIMILARS
64095439,PAIN-Biomarkers: Characterization of Mu-Lympho-Marker as pain specific biomarker in chronic Osteoarthritis,General Research,GNT01,General Research,No,No,Internal Medicine,Osteoarthritis,,No Drug,Rejected,No additional details,"Italy,",No,No,Yes,,CMAO
68384005,Advanced therapies and the risk of infections in a Dutch rheumatology population,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,Tofacitinib,Priority Asset,Closed,No additional details,"Netherlands,",No,No,No,,CMAO
57165119,"LAKANA Trial: A research plan for a cluster-randomized, doubleblinded, parallel group, controlled trial, testing the effects of mass drug administration of azithromycin on mortality and other",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Bacterial,Azithromycin,,Ongoing,Contract Exeecuted,"Mali,",No,No,No,,CMAO
53232095,WI174803Efficacy and Safety of PD-0332991 in Patients with Advanced Gastrointestinal Stromal Tumors Refractory to Imatinib and Sunitinib_ A Phase 2 study,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Closed,No additional details,"France,",No,Yes,No,,POD
76436251,Serotype Distribution for Invasive Pneumococcal Disease: A Systematic Review and meta-analysis,General Research,GNT01,General Research,No,No,Vaccines,Pneumococcal,,No Drug,Closed,No additional details,"Argentina,",No,No,No,,CMAO
53232083,WI175027 A Phase I Study of Vinblastine and Temsirolimus in Pediatric Patients with Recurrent or Refractory,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Genitourinary,Temsirolimus,,Closed,No additional details,"Canada,",No,No,Yes,,POD
53215923,2B4 /CD48: a new couple of co-inhibitory molecules in ovarian carcinomas,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Immuno-Oncology,,No Drug,Rejected,No additional details,"France,",No,Yes,No,,POD
76483789,Hunger Regulation by OptoMagForce technology,General Research,GNT01,General Research,No,No,Rare Disease,Gene Therapy,,No Drug,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
60420583,Safety and efficacy of tofacitinib for treatment of moderate to severe COVID-19,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Anti-infectives,Tofacitinib,Priority Asset,Canceled,No additional details,"United States,",Yes,No,No,,CMAO
53235009,WS717285-53 NCI 8692 A T1 Translational Multicenter Randomized Phase II Study Temsirolimus vs Cetuximab plus Temsirolimus in Patients with Recurrent Metatastic Head and Neck Cancer who Failed Prior EGFT Based Therapy,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Genitourinary,Temsirolimus,,Closed,No additional details,"United States,",Yes,No,No,,POD
53233773,WI232324 Antitumor effect of PARP inhibitor Talazoparib in gastric cancer and breast cancer with exploring the modulation of DNA damage response (DDR) by inhibiting androgen receptor (AR) using Enzalutamide in breast cancer,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Talazoparib,Launch Priority,Closed,No additional details,"Korea, Republic Of,",No,No,Yes,,POD
ATVA97001AB,"OPEN, NON-COMPARATIVE DRUG MONITORING PROGRAM WITH ATORVASTATIN IN PATIENTS WITH HYPERCHOLESTERINAEMIA",NON INTERVENTIONAL,CT24,,,,,Hypercholesterolaemia,,No Drug,Canceled,No additional details,"Austria,",No,No,No,,PGP
73551353,Brazilian Initiative for Prompting Early Detection of Heart Diseases in Primary Care: a Focus in TTR Amyloidosis (iGESTO:ATTR),General Research,GNT01,General Research,No,No,Rare Disease,TTR Amyloidosis,,No Drug,Rejected,No additional details,"Brazil,",No,No,Yes,,CMAO
72469575,Surveillance of relevant genes encoding antimicrobial resistance in Gram Negatives and Gram positives in Mexico during and after the COVID-19 pandemic,General Research,GNT01,General Research,No,No,Vaccines,Bacterial,,No Drug,Ongoing,Contract Exeecuted,"Mexico,",No,No,Yes,,CMAO
66530351,Randomized Phase II study to evaluate efficacy and safety of palbociclib in combination with  letrozole or letrozole alone in patients with metastatic/relapsed ER-positive and/or PR-positive uterine and extra-uterine leiomyosarcoma (LMS),Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Other,Palbociclib,Priority Asset,Rejected,No additional details,"France,",No,Yes,No,,POD
77241665,Linezolid request,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,COVID-19,Other / Unknown,,Closed,No additional details,"United States,",Yes,No,No,,CMAO
53233171,WI217811 Role of iNKT cells in combined gut and joint disease in spondyloarthritis,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,Tofacitinib,Priority Asset,Closed,No additional details,"Belgium,",No,No,No,,CMAO
94303551,Elranatamab  in MM patients with renal impairment ,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Hematologic,Elranatamab,Launch Priority,Rejected,No additional details,"Greece,",No,No,No,,POD
67592035,Spondyloarthritis Research Consortium of Canada (SPARCC) 2021-2022,General Research,GNT01,General Research,No,No,Inflammation and Immunology,Spondyloarthropathy,,No Drug,Closed,No additional details,"Canada,",No,No,Yes,,CMAO
C0311029,,NON INTERVENTIONAL,CT24,,No,No,Rare Disease,,Somatrogon,,Concept,No additional details,,No,No,No,,PBG
B3461042,Vyndaqel Capsules Special Investigation -Investigation on long-term use-,NON INTERVENTIONAL,CT24,,No,Yes,Rare Disease,Hereditary neuropathic amyloidosis,Tafamidis,Priority Asset,Completed,No additional details,"Japan,",No,Yes,No,,GPD
3090A101657,A RETROSPECTIVE STUDY TO DESCRIBE THE INCIDENCE OF ALLERGIC REACTIONS TO FACTOR IX IN PATIENTS WITH MODERATE TO SEVERE HEMOPHILIA B,NON INTERVENTIONAL,CT24,,,,Hospital,,Nonacog alfa,,Completed,No additional details,"Australia, Austria, Belgium, Canada, France, Germany, Italy, Spain, United Kingdom, United States",Yes,Yes,Yes,,WYETH
A0531107,MORNING BLOOD PRESSURE CONTROL OF TREATMENT WITH CALCIUM CHANNEL BLOCKER IN CHINESE POPULATION: A PROSPECTIVE MULTI-CENTER NON-INTERVENTIONAL STUDY,NON INTERVENTIONAL,CT24,,,,,,,No Drug,Canceled,No additional details,"China,",No,Yes,No,,BU MEDICAL
53234335,"WI242315 A Single-Arm, Open-Label, Phase I/II Study of Glasdegib for Sclerotic Chronic Graft-vs-Host Disease",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,General/Non-specific/Other,Glasdegib,,Closed,No additional details,"United States,",Yes,No,No,,POD
A3921208,PSORIASIS STANDING COHORT USING THE HEALTH IMPROVEMENT NETWORK (THIN) DATABASE,NON INTERVENTIONAL,CT24,,,,Inflammation and Immunology,Psoriasis,Tofacitinib,Priority Asset,Canceled,No additional details,"United Kingdom,",No,No,Yes,,BU DEVELOPMENT
A0661182,COMPLIANCE AND SAFETY STUDY IN CHILDREN WITH UPPER AND LOWER RESPIRATORY TRACT INFECTIONS  A NON INTERVENTIONAL POST-MARKETING STUDY (NI-PMS).,NON INTERVENTIONAL,CT24,,,Yes,,Respiratory tract infection,,No Drug,Completed,No additional details,"Greece,",No,No,No,,BU MEDICAL
87039045,Diagnostic and care improvement in children with idiophatic short stature or poor response to growth hormone treatment after Next Generation Sequencing-based mutation screening,General Research,GNT01,General Research,No,No,Internal Medicine,Idiopathic Short Stature,,No Drug,Rejected,No additional details,"Italy,",No,No,Yes,,CMAO
931921003,A STUDY EVALUATING THE EFFECT OF GROWTH HORMONE IN GIRLS WITH TURNER'S SYNDROME,NON INTERVENTIONAL,CT24,,,,,Turner's syndrome,,No Drug,Completed,No additional details,"Taiwan,Taiwan",No,No,No,,PGP
65382745,Amplify the patient voice for people living with a long-term MSK condition & persistent pain,General Research,GNT01,General Research,No,No,Internal Medicine,Pain,,No Drug,Closed,No additional details,"United Kingdom,",No,No,Yes,,CMAO
53232675,WI207524 Study on adherence to clotting factors replacement treatment in haemophilia patients under prophylactic regimen and its relationship with hemorrhagic events,General Research,GNT01,General Research,No,No,Rare Disease,Hemophilia,,No Drug,Closed,No additional details,"Spain,",No,No,Yes,,CMAO
93455081,"Mixed methods evaluation of ePRO implementation: Assessing value for patients, providers, and health care systems in oncology",General Research,GNT01,General Research,No,No,Oncology,General/Non-specific/Other,,No Drug,Planned,No additional details,"United States,",Yes,No,No,,POD
89776953,Population-based analysis of SARS-CoV-2 infection and vaccination in association with incident autoimmune conditions,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,COVID,COVID-19 - (Vaccine),BNT162b2,Priority Asset,Rejected,No additional details,"Canada,",No,No,Yes,,CMAO
60314195,WI235335 Efficacy of mAB against NT-3 and BDNF on synaptopahy in the cochlea,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Internal Medicine,General/Non-specific/Other,Other / Unknown,,Terminated,"Approved,Terminated","United States,",Yes,No,No,,BU
53232669,WI207244 Laboratory based surveillance of Pneumococcal Serotypes in Tertiary Hospitals in the Philippines,General Research,GNT01,General Research,No,No,Vaccines,Pneumococcal,,No Drug,Closed,No additional details,"Philippines,",No,No,No,,CMAO
53232909,WI211541 Breast Cancer Research Fund Grant Program,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Ongoing,Contract Exeecuted,"United States,",Yes,No,No,,POD
62188409,A Practical framework in MEtastatic BREast Cancer research from both professional and patient's perspectives: The MEBREC mixed-methods study,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Closed,No additional details,"Colombia,",No,No,No,,POD
C3441055,Treatment Patterns and Clinical Outcomes Among Talazoparib-Treated Adults with HER2-Negative Metastatic Breast Cancer and Germline BRCA1/2 Mutations:  An Observational Study Using Flatiron Electronic Health Record (EHR) Database,NON INTERVENTIONAL,CT24,,No,No,Oncology,Breast cancer metastatic,Talazoparib,Launch Priority,Completed,No additional details,"United States,",Yes,No,No,,PBG
69703059,Long-term colonization by OXA48-producing Klebsiella pneumoniae: Characterization of genetic changes by next generation sequencing and analysis of the impact on virulence and antimicrobial resistance.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Bacterial,Ceftazidime-avibactam,,Closed,No additional details,"Spain,",No,No,Yes,,CMAO
65851361,COVID-19 Vaccine and Impact on Fertility Study,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,,Vaccine Preventable Diseases – COVID-19,Other / Unknown,,Canceled,No additional details,"United States,",Yes,No,No,,CMAO
53233885,WI234971 Retrospective Study of Breast and Gynecologic cancer of a Single Public Institution in São Paulo (Women Reference Center),General Research,GNT01,General Research,No,No,Oncology,Breast,,No Drug,Closed,No additional details,"Brazil,",No,No,Yes,,POD
A9011064,GI RISK ASSESSMENT STUDY,NON INTERVENTIONAL,CT24,,,,,Abdominal pain upper| Dyspepsia,,No Drug,Completed,No additional details,"Korea, Republic Of,",No,No,Yes,,PGP
74987657,Adipose tissue dysfuction and the progression from MAFLD to NASH:  two sides of the same coin,General Research,GNT01,General Research,No,No,Internal Medicine,Overweight or Physical Activity,,No Drug,Ongoing,Contract Exeecuted,"Italy,",No,No,Yes,,CMAO
75046491,Prescribed medications in adults with moderate-to-severe atopic dermatitis in the Dutch general population,General Research,GNT01,General Research,No,No,Inflammation and Immunology,Atopic Dermatitis,,No Drug,Rejected,No additional details,"Netherlands,",No,No,No,,CMAO
59256099,Phase II study of palbociclib and pembrolizumab in combination with hormonal blockade in patients with metastatic HR+ HER2- breast cancer,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Rejected,No additional details,"United States,",Yes,No,No,,POD
63303025, The immune mechanism of JAK inhibitor on shingles in rheumatoid arthritis patients,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,Other / Unknown,,Rejected,No additional details,"Korea, Republic Of,",No,No,Yes,,CMAO
59886197,Neoadjuvant concurrent chemo-radiotherapy and trastuzumab in Her2 positive locally advanced breast cancer:  Phase 2 clinical trial,General Research,GNT01,General Research,No,No,Oncology,Breast,,No Drug,Rejected,No additional details,"India,",No,No,Yes,,POD
87781295,"Investigating an amyloid fibril disruptor in aTTR:  Thiamet G, an inhibitor of the enzyme O-GlcNAcase",General Research,GNT01,General Research,No,No,Rare Disease,TTR Amyloidosis,,No Drug,Rejected,No additional details,"France,",No,Yes,No,,CMAO
87932569,"Modulation of High-Grade Glioma Microenvironment with Pembrolizumab, Axitinib, and Temozolomide Combination Therapy",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Neurologic-Brain,Axitinib,,Rejected,No additional details,"United States,",Yes,No,No,,POD
53073211,"Crisaborole ointment in adults with mild to moderate chronic hand eczema: a randomized, double-blind, placebo-controlled proof of concept efficacy study.",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Atopic Dermatitis,Crisaborole,,Rejected,No additional details,"Netherlands,",No,No,No,,CMAO
96OIDA095,"OPEN MULTICENTER,MULTINATIONAL TRIAL WITHOUT CONTROL ARM ON THE COMBINATION OF ORAL IDARUBICIN AND CYCLOPHOSPHAMIDE IN PATIENTS WITH ADVANCED BREAST CANCER.",NON INTERVENTIONAL,CT24,,,,Oncology,Breast neoplasm,,No Drug,Completed,No additional details,"Argentina,",No,No,No,,PHARMACIA
61772021,In vitro interaction between anidulafungin and colistin against Aspergillus species,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Fungal,Other / Unknown,,Canceled,Contract Sent to Org for Review,"Germany,",No,Yes,No,,CMAO
87329753, Evaluation Ceftazidime/avibactam against Carbapenem Non-Susceptible Klebsiella pneumoniae,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Bacterial,Other / Unknown,,Closed,No additional details,"Taiwan,",No,Yes,No,,CMAO
67463365,PO 6500754657 Linezolid & PO 6500754640 Sulbactam,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Bacterial,Other / Unknown,,Closed,No additional details,"United States,",Yes,No,No,,CMAO
53233479,"WI226025 Randomized Phase II trial of Pre-Operative Gemcitabine, Nab-Paclitaxel, and hydroxychloroquine with or without Avelumab (PGHA vs. PGH)",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Immuno-Oncology,Avelumab,,Closed,No additional details,"United States,",Yes,No,No,,POD
53233703,WI231046 HEALTH TECHNOLOGY ASSESSMENT OF MENINGOCOCCAL B VACCINE (Trumenba®) IN ADOLESCENT IN ITALY,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Meningococcal,Meningococcal Group B Vaccine,Tier 2 Research Priority,Closed,No additional details,"Italy,",No,No,Yes,,CMAO
60370277,WI244476 Impact of tofacitinib on osteoblast phenotype and bone marrow Mesenchymal Stem Cells differentiation in vitro in pro-inflammatory conditions,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Other / Unknown,Compound Transfer Migration,Other / Unknown,,Closed,No additional details,"France,",No,Yes,No,,CMAO
B7451114,The real-world treatment patterns and clinical outcomes in moderate-to-severe atopic dermatitis (AD) patients receiving abrocitinib,NON INTERVENTIONAL,CT24,,No,No,Inflammation and Immunology,Dermatitis atopic,Abrocitinib,Priority Asset,Ongoing,No additional details,"Taiwan,Taiwan,",No,No,No,Medical Affairs,PBG
53232065,WI173465 Full_ _Exploring the role of CDK4 and CDK6 in melanoma maintenance_. (MRA-Pfizer Established Investigator Partnership Award,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Closed,No additional details,"United States,",Yes,No,No,,POD
C3791012,Intra-hospital care pathway for patients with two invasive fungal diseases of interest in France: invasive aspergillosis and mucormycosis – Cresemba®'s Positioning (MILAN study) Analysis of public and private PMSI hospital databases,NON INTERVENTIONAL,CT24,,No,No,Hospital,Systemic mycosis,Isavuconazole,,Completed,No additional details,"France,",No,Yes,No,,PBG
58234447,Obese patients trastuzumab pharmacokinetics in routine clinical practice,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Other / Unknown,Oncology,,No Drug,Closed,No additional details,"Spain,",No,No,Yes,,POD
89233325,Clinical and Epidemiological Surveillance of Respiratory Syncytial Virus Infections among Adult Patients in a Tertiary Hospital in Southern Brazil,General Research,GNT01,General Research,No,No,Vaccines,Respiratory Syncytial Virus (RSV) (response to RFP only),,No Drug,Rejected,No additional details,"Brazil,",No,No,Yes,,CMAO
C4891022,,NON INTERVENTIONAL,CT24,,No,Yes,Oncology,,Vepdegestrant,,Concept,No additional details,,No,No,No,Japan PMS,PBG
A6181199,"A NON-INTERVENTIONAL RETROSPECTIVE CORRELATION OF TUMOR MUTATION STATUS TO CLINICAL BENEFIT FROM THE SU011248, A6181036 TREATMENT PROTOCOL TITLED:  A TREATMENT PROTOCOL FOR PATIENTS WITH GASTROINTESTINAL STROMAL TUMOR WHO ARE INELIGIBLE FOR PARTICIPATION IN OTHER SU011248 PROTOCOLS AND ARE REFRACTORY TO OR INTOLERANT OF IMATINIB MESYLATE",NON INTERVENTIONAL,CT24,,,,Oncology,Gastrointestinal stromal tumour,Sunitinib,,Completed,No additional details,"Australia, Belgium, Canada, Denmark, Finland, France, Germany, India, Israel, Italy, Korea, Republic Of, Netherlands, Poland, Slovakia, Spain, Switzerland, United Kingdom, United States,Australia, Belgium, Canada, Denmark, Finland, France, Germany, India, Korea, Republic Of, Netherlands, Poland, Slovakia, Spain, Switzerland, United Kingdom, United States",Yes,Yes,Yes,,BU MEDICAL
A1151021,SURVEY OF PATIENTS USING TIKOSYN TO ASSESS THEIR KNOWLEDGE OF THE KEY RISKS AND SAFE USE OF TIKOSYN - 36-MONTH ASSESSMENT (WAVE III),NON INTERVENTIONAL,CT24,,,,,Atrial fibrillation,,No Drug,Completed,No additional details,"United States,",Yes,No,No,,BU MEDICAL
52321751,In Vivo Study of Ceftazidime-Avibactam alone and in combination in Carbapenemase-producing Enterobacteriaceae Rabbit Models of Osteomyelitis ,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Bacterial,Ceftazidime-avibactam,,Closed,No additional details,"France,",No,Yes,No,,CMAO
68465311,"A Pharmacodynamics-Driven Trial of Talazoparib, an Oral PARP Inhibitor, in Patients with Advanced Solid Tumors and Aberrations in Genes Involved in DNA Damage Response (10371)",Research Collaboration,RC01,,No,No,Oncology,General/Non-specific/Other,Talazoparib,Launch Priority,Ongoing,No additional details,"United States,",Yes,No,No,Medical Affairs,POD
53232385,"WI194763 Phenotypical variability regarding growth, height and bone dysplasia in Ullrich Turner syndrome_ __association with methylation pattern of SHOX locus",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Rare Disease,Growth Hormone Deficiency,Somatrogon,,Ongoing,Contract Exeecuted,"Germany,",No,Yes,No,,CMAO
60273025,WI242704 Tofacitinib and organ scalp culture model to reverse the JAK-STAT-mediated pro-inflammatory profile of frontal fibrosing alopecia.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Other / Unknown,Compound Transfer Migration,Other / Unknown,,Closed,No additional details,"Spain,",No,No,Yes,,CMAO
A3921351,,NON INTERVENTIONAL,CT24,,No,No,Inflammation and Immunology,,Tofacitinib,Priority Asset,Not Pursued,No additional details,,No,No,No,,PBG
93188053,VIRTUAL  VItiligo RegisTry for adUlts And children ,Research Collaboration,RC01,,No,No,Inflammation and Immunology,Vitiligo,Ritlecitinib,Launch Priority,Pending,No additional details,"France,",No,Yes,No,,CMAO
76064149,A phase 1/2 study of combination milademetan and binimetinib for patients with advanced MDM2-dependent lung cancers with concurrent driver mutations,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Lung,Binimetinib,Priority Asset,Terminated,"Approved,Terminated","United States,",Yes,No,No,,POD
X9001228,,NON INTERVENTIONAL,CT24,,No,No,,,,No Drug,Not Pursued,No additional details,,No,No,No,,PBG
61607927,Prediction and decision models to prevent and mitigate adverse effects of SARS-CoV-2 infection among older individuals ,General Research,GNT01,General Research,No,No,Vaccines,COVID-19 - (Vaccine),,No Drug,Rejected,No additional details,"Sweden,",No,No,No,,CMAO
89446143,Support of the set up of an Early Arthritis Clinic,General Research,GNT01,General Research,No,No,Inflammation and Immunology,Spondyloarthropathy,,No Drug,Ongoing,Contract Exeecuted,"Belgium,",No,No,No,,CMAO
60044181,WI255311 PO  6500648877  for 066667-1 MEROPENEM (TRIHYDRATE),Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,General/Non-Specific,Other / Unknown,,Canceled,No additional details,"United States,",Yes,No,No,,CMAO
53233425,WI225019 Strategic approach for the Fontan associated liver disease: the physiological profiling and the modification from pulmonary vasodilator in adolescents and adults after Fontanoperation,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Internal Medicine,Pulmonary Arterial Hypertension,,No Drug,Closed,No additional details,"Taiwan,",No,Yes,No,,BU
62108551,Palbociclib access at the Border: Real World practice in a middle-income country with a biomarker exploration pilot study.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Rejected,No additional details,"Mexico,",No,No,Yes,,POD
62127479,"Study on Trends and Risk Factors of the Characteristics, Diagnosis, Treatment and Survival of Young breast cancer patients in China from 2000 to 2020",General Research,GNT01,General Research,No,No,Oncology,Breast,,No Drug,Rejected,No additional details,"China,",No,Yes,No,,POD
93537343,Exploring the diversity of influenza strains post COVID-19 Pandemic in the eastern region of the Eastern Cape: Implications for Public Health Strategies,General Research,GNT01,General Research,No,No,Vaccines,General/Non-specific/Other,,No Drug,Planned,No additional details,"South Africa,",No,No,No,,CMAO
75018345,Developing a Novel Data Mining-based Risk Framework to Evaluate the Epidemiology and Clinical Management of Chronic Kidney Disease Among Transthyretin Amyloid Cardiomyopathy Patients,General Research,GNT01,General Research,No,No,Rare Disease,TTR Amyloidosis,,No Drug,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
53233753,WI232122 (Micro)-evolution of ST19A S. pneumoniae strains causing invasive pneumococcal disease in the conjugate vaccine era in Belgium (period 2010-2015),Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Pneumococcal,Pneumococcal 20-valent Conjugate Vaccine,Priority Asset,Closed,No additional details,"Belgium,",No,No,No,,CMAO
64131175,Increased miR-155-5p disrupts colonic JAK-STAT regulation and impairs tofacitinib efficacy in ulcerative colitis,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Ulcerative Colitis,Tofacitinib,Priority Asset,Ongoing,Contract Exeecuted,"Japan,",No,Yes,No,,CMAO
60422693,The Ontario Best Practices Research Initiative (OBRI):  Safety and Effectiveness,General Research,GNT01,General Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,,No Drug,Closed,No additional details,"Canada,",No,No,Yes,,CMAO
M27300093,"PRAMIPEXOLE:  EFFICACY, SAFETY, AND TOLERABILITY STUDY IN LEVODOPA-TREATED PARKINSON'S DISEASE PATIENTS IN LATIN AMERICA",NON INTERVENTIONAL,CT24,,,,,Parkinson's disease,,No Drug,Completed,No additional details,"Argentina, Brazil, Mexico,Argentina, Brazil, Mexico",No,No,Yes,,PHARMACIA
